Academic Year,University,Source of Salary Funding,Staff Grade,Mode of Employment,Staff No. (Headcount)
2016/17,The Hong Kong University of Science and Technology,Wholly Funded by General Funds,Technical Research Staff,Short-term,32
2016/17,The Hong Kong University of Science and Technology,Wholly self-financed,Academic Supporting Staff,Full-time,20
2016/17,The Hong Kong University of Science and Technology,Wholly self-financed,Academic Supporting Staff,Part-time,2
2016/17,The Hong Kong University of Science and Technology,Wholly self-financed,Academic Supporting Staff,Short-term,14
2016/17,The Hong Kong University of Science and Technology,Wholly self-financed,"Administrative, Technical and Other Staff",Full-time,208
2016/17,The Hong Kong University of Science and Technology,Wholly self-financed,"Administrative, Technical and Other Staff",Part-time,9
2016/17,The Hong Kong University of Science and Technology,Wholly self-financed,"Administrative, Technical and Other Staff",Short-term,5
2016/17,The Hong Kong University of Science and Technology,Wholly self-financed,Junior Academic Staff,Full-time,4
2016/17,The Hong Kong University of Science and Technology,Wholly self-financed,Junior Academic Staff,Short-term,13
2016/17,The Hong Kong University of Science and Technology,Wholly self-financed,Senior Academic Staff,Short-term,6
2016/17,The Hong Kong University of Science and Technology,Wholly self-financed,Technical Research Staff,Full-time,207
2016/17,The Hong Kong University of Science and Technology,Wholly self-financed,Technical Research Staff,Part-time,31
2016/17,The Hong Kong University of Science and Technology,Wholly self-financed,Technical Research Staff,Short-term,83
2016/17,The University of Hong Kong,Partially Funded by General Funds,Academic Supporting Staff,Full-time,13
2016/17,The University of Hong Kong,Partially Funded by General Funds,Academic Supporting Staff,Part-time,1
2016/17,The University of Hong Kong,Partially Funded by General Funds,Academic Supporting Staff,Short-term,4
2016/17,The University of Hong Kong,Partially Funded by General Funds,"Administrative, Technical and Other Staff",Full-time,79
2016/17,The University of Hong Kong,Partially Funded by General Funds,"Administrative, Technical and Other Staff",Part-time,4
2016/17,The University of Hong Kong,Partially Funded by General Funds,"Administrative, Technical and Other Staff",Short-term,18
2016/17,The University of Hong Kong,Partially Funded by General Funds,Junior Academic Staff,Full-time,45
2016/17,The University of Hong Kong,Partially Funded by General Funds,Junior Academic Staff,Part-time,2
2016/17,The University of Hong Kong,Partially Funded by General Funds,Junior Academic Staff,Short-term,1
2016/17,The University of Hong Kong,Partially Funded by General Funds,Senior Academic Staff,Full-time,4
2016/17,The University of Hong Kong,Partially Funded by General Funds,Senior Academic Staff,Part-time,1
2016/17,The University of Hong Kong,Partially Funded by General Funds,Technical Research Staff,Full-time,409
2016/17,The University of Hong Kong,Partially Funded by General Funds,Technical Research Staff,Part-time,25
2016/17,The University of Hong Kong,Partially Funded by General Funds,Technical Research Staff,Short-term,237
2016/17,The University of Hong Kong,Wholly Funded by General Funds,Academic Supporting Staff,Full-time,355
2016/17,The University of Hong Kong,Wholly Funded by General Funds,Academic Supporting Staff,Part-time,5
2016/17,The University of Hong Kong,Wholly Funded by General Funds,Academic Supporting Staff,Short-term,67
2016/17,The University of Hong Kong,Wholly Funded by General Funds,"Administrative, Technical and Other Staff",Full-time,1214
2016/17,The University of Hong Kong,Wholly Funded by General Funds,"Administrative, Technical and Other Staff",Part-time,8
2016/17,The University of Hong Kong,Wholly Funded by General Funds,"Administrative, Technical and Other Staff",Short-term,20
2016/17,The University of Hong Kong,Wholly Funded by General Funds,Junior Academic Staff,Full-time,721
2016/17,The University of Hong Kong,Wholly Funded by General Funds,Junior Academic Staff,Part-time,3
2016/17,The University of Hong Kong,Wholly Funded by General Funds,Junior Academic Staff,Short-term,5
2016/17,The University of Hong Kong,Wholly Funded by General Funds,Senior Academic Staff,Full-time,325
2016/17,The University of Hong Kong,Wholly Funded by General Funds,Senior Academic Staff,Part-time,2
2016/17,The University of Hong Kong,Wholly Funded by General Funds,Technical Research Staff,Full-time,95
2016/17,The University of Hong Kong,Wholly Funded by General Funds,Technical Research Staff,Part-time,14
2016/17,The University of Hong Kong,Wholly Funded by General Funds,Technical Research Staff,Short-term,100
2016/17,The University of Hong Kong,Wholly self-financed,Academic Supporting Staff,Full-time,135
2016/17,The University of Hong Kong,Wholly self-financed,Academic Supporting Staff,Part-time,11
2016/17,The University of Hong Kong,Wholly self-financed,Academic Supporting Staff,Short-term,10
2016/17,The University of Hong Kong,Wholly self-financed,"Administrative, Technical and Other Staff",Full-time,550
2016/17,The University of Hong Kong,Wholly self-financed,"Administrative, Technical and Other Staff",Part-time,21
2016/17,The University of Hong Kong,Wholly self-financed,"Administrative, Technical and Other Staff",Short-term,58
2016/17,The University of Hong Kong,Wholly self-financed,Junior Academic Staff,Full-time,100
2016/17,The University of Hong Kong,Wholly self-financed,Junior Academic Staff,Part-time,4
2016/17,The University of Hong Kong,Wholly self-financed,Junior Academic Staff,Short-term,3
2016/17,The University of Hong Kong,Wholly self-financed,Senior Academic Staff,Full-time,10
2016/17,The University of Hong Kong,Wholly self-financed,Senior Academic Staff,Short-term,1
2016/17,The University of Hong Kong,Wholly self-financed,Technical Research Staff,Full-time,625
2016/17,The University of Hong Kong,Wholly self-financed,Technical Research Staff,Part-time,32
2016/17,The University of Hong Kong,Wholly self-financed,Technical Research Staff,Short-term,242
2017/18,City University of Hong Kong,Partially Funded by General Funds,"Administrative, Technical and Other Staff",Full-time,7
2017/18,City University of Hong Kong,Partially Funded by General Funds,"Administrative, Technical and Other Staff",Part-time,9
2017/18,City University of Hong Kong,Partially Funded by General Funds,"Administrative, Technical and Other Staff",Short-term,126
2017/18,City University of Hong Kong,Partially Funded by General Funds,Technical Research Staff,Full-time,101
2017/18,City University of Hong Kong,Partially Funded by General Funds,Technical Research Staff,Part-time,29
2017/18,City University of Hong Kong,Partially Funded by General Funds,Technical Research Staff,Short-term,227
2017/18,City University of Hong Kong,Wholly Funded by General Funds,Academic Supporting Staff,Full-time,154
2017/18,City University of Hong Kong,Wholly Funded by General Funds,Academic Supporting Staff,Short-term,238
2017/18,City University of Hong Kong,Wholly Funded by General Funds,"Administrative, Technical and Other Staff",Full-time,465
2017/18,City University of Hong Kong,Wholly Funded by General Funds,"Administrative, Technical and Other Staff",Part-time,15
2017/18,City University of Hong Kong,Wholly Funded by General Funds,"Administrative, Technical and Other Staff",Short-term,324
2017/18,City University of Hong Kong,Wholly Funded by General Funds,Junior Academic Staff,Full-time,344
2017/18,City University of Hong Kong,Wholly Funded by General Funds,Junior Academic Staff,Short-term,5
2017/18,City University of Hong Kong,Wholly Funded by General Funds,Senior Academic Staff,Full-time,377
2017/18,City University of Hong Kong,Wholly Funded by General Funds,Senior Academic Staff,Part-time,1
2017/18,City University of Hong Kong,Wholly Funded by General Funds,Senior Academic Staff,Short-term,4
2017/18,City University of Hong Kong,Wholly Funded by General Funds,Technical Research Staff,Full-time,77
2017/18,City University of Hong Kong,Wholly Funded by General Funds,Technical Research Staff,Part-time,9
2017/18,City University of Hong Kong,Wholly Funded by General Funds,Technical Research Staff,Short-term,148
2017/18,City University of Hong Kong,Wholly self-financed,Academic Supporting Staff,Short-term,5
2017/18,City University of Hong Kong,Wholly self-financed,"Administrative, Technical and Other Staff",Full-time,30
2017/18,City University of Hong Kong,Wholly self-financed,"Administrative, Technical and Other Staff",Part-time,3
2017/18,City University of Hong Kong,Wholly self-financed,"Administrative, Technical and Other Staff",Short-term,35
2017/18,City University of Hong Kong,Wholly self-financed,Junior Academic Staff,Full-time,1
2017/18,City University of Hong Kong,Wholly self-financed,Senior Academic Staff,Full-time,4
2017/18,City University of Hong Kong,Wholly self-financed,Technical Research Staff,Full-time,130
2017/18,City University of Hong Kong,Wholly self-financed,Technical Research Staff,Part-time,12
2017/18,City University of Hong Kong,Wholly self-financed,Technical Research Staff,Short-term,170
2017/18,Hong Kong Baptist University,Partially Funded by General Funds,Academic Supporting Staff,Full-time,1
2017/18,Hong Kong Baptist University,Partially Funded by General Funds,Academic Supporting Staff,Part-time,1
2017/18,Hong Kong Baptist University,Partially Funded by General Funds,Academic Supporting Staff,Short-term,3
2017/18,Hong Kong Baptist University,Partially Funded by General Funds,"Administrative, Technical and Other Staff",Full-time,8
2017/18,Hong Kong Baptist University,Partially Funded by General Funds,Junior Academic Staff,Full-time,26
2017/18,Hong Kong Baptist University,Partially Funded by General Funds,Junior Academic Staff,Short-term,1
2017/18,Hong Kong Baptist University,Partially Funded by General Funds,Technical Research Staff,Full-time,11
2017/18,Hong Kong Baptist University,Wholly Funded by General Funds,Academic Supporting Staff,Full-time,131
2017/18,Hong Kong Baptist University,Wholly Funded by General Funds,Academic Supporting Staff,Part-time,132
2017/18,Hong Kong Baptist University,Wholly Funded by General Funds,Academic Supporting Staff,Short-term,6
2017/18,Hong Kong Baptist University,Wholly Funded by General Funds,"Administrative, Technical and Other Staff",Full-time,188
2017/18,Hong Kong Baptist University,Wholly Funded by General Funds,"Administrative, Technical and Other Staff",Part-time,11
2017/18,Hong Kong Baptist University,Wholly Funded by General Funds,"Administrative, Technical and Other Staff",Short-term,3
2017/18,Hong Kong Baptist University,Wholly Funded by General Funds,Junior Academic Staff,Full-time,261
2017/18,Hong Kong Baptist University,Wholly Funded by General Funds,Senior Academic Staff,Full-time,104
2017/18,Hong Kong Baptist University,Wholly Funded by General Funds,Technical Research Staff,Full-time,61
2017/18,Hong Kong Baptist University,Wholly Funded by General Funds,Technical Research Staff,Part-time,42
2017/18,Hong Kong Baptist University,Wholly Funded by General Funds,Technical Research Staff,Short-term,92
2017/18,Hong Kong Baptist University,Wholly self-financed,Academic Supporting Staff,Full-time,149
2017/18,Hong Kong Baptist University,Wholly self-financed,Academic Supporting Staff,Part-time,180
